AttackID,AttackType,AttackDate,TargetSystem,AttackVector,Severity,AttackerIP,VictimIP,Status,AttackDuration
38,,2022-07-15,WebServer,Network,Critical,104.27.138.153,10.0.0.37,Open,
39,Ransomware,2022-07-18,DatabaseServer,Malicious Link,High,185.174.171.4,10.0.0.38,Resolved,4
40,SQL Injection,2022-07-22,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.39,In Progress,4
41,Phishing,2022-07-25,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.40,Resolved,4
42,Malware,2022-07-28,CorporateServer,Email,High,192.168.1.108,10.0.0.41,Resolved,4
43,Distributed Denial of Service (DDoS),2022-08-02,WebServer,Network,Critical,104.27.138.153,10.0.0.42,Open,97
44,Ransomware,2022-08-05,DatabaseServer,Malicious Link,High,185.174.171.4,10.0.0.43,Resolved,0
45,SQL Injection,2022-08-10,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.44,Open,32
46,Malware,2022-08-15,CorporateServer,Email,High,192.168.1.109,10.0.0.45,Resolved,4
47,Phishing,2022-08-18,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.46,Resolved,97
48,Distributed Denial of Service (DDoS),2022-08-22,WebServer,Network,Critical,104.27.138.153,10.0.0.47,Open,0
49,Ransomware,2022-08-25,DatabaseServer,Malicious Link,High,185.174.171.4,10.0.0.48,Resolved,32
50,SQL Injection,2022-08-28,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.49,Resolved,97
51,Phishing,2022-09-02,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.50,Open,0
52,Malware,2022-09-05,CorporateServer,Email,High,192.168.1.110,,Resolved,32
53,Distributed Denial of Service (DDoS),2022-09-10,WebServer,Network,Critical,104.27.138.153,10.0.0.52,In Progress,22
54,Ransomware,2022-09-15,DatabaseServer,Malicious Link,High,185.174.171.4,10.0.0.53,Resolved,532
55,SQL Injection,2022-09-18,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.54,Resolved,94
56,Phishing,,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.55,Open,97
57,Malware,2022-09-25,CorporateServer,Email,High,192.168.1.111,10.0.0.56,Resolved,0
58,Distributed Denial of Service (DDoS),2022-09-28,WebServer,Network,Critical,104.27.138.153,10.0.0.57,In Progress,32
59,Ransomware,2022-10-02,DatabaseServer,Malicious Link,High,185.174.171.4,10.0.0.58,Resolved,4
60,SQL Injection,2022-10-05,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.59,Resolved,332
61,,,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.60,Open,4
62,Malware,2022-10-15,CorporateServer,Email,High,,10.0.0.61,Resolved,4324
63,Distributed Denial of Service (DDoS),2022-10-18,WebServer,Network,Critical,104.27.138.153,10.0.0.62,Open,43
64,Ransomware,2022-10-22,DatabaseServer,Malicious Link,High,185.174.171.4,10.0.0.63,Resolved,1
65,SQL Injection,2022-10-25,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.64,In Progress,
66,Phishing,2022-10-28,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.65,Resolved,0
67,Malware,2022-11-02,CorporateServer,Email,High,192.168.1.113,10.0.0.66,Resolved,0
68,Distributed Denial of Service (DDoS),2022-11-05,WebServer,Network,Critical,104.27.138.153,10.0.0.67,Open,0
69,Ransomware,2022-11-10,DatabaseServer,Malicious Link,High,185.174.171.4,10.0.0.68,Resolved,4
70,SQL Injection,2022-11-15,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.69,Resolved,445
71,Phishing,2022-11-18,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.70,Open,1
72,Malware,2022-11-22,CorporateServer,Email,High,192.168.1.114,10.0.0.71,Resolved,11
73,Distributed Denial of Service (DDoS),2022-11-25,WebServer,Network,Critical,104.27.138.153,,Not Available,23
74,Phishing,,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.72,Resolved,764
75,Malware,2022-12-02,CorporateServer,Email,High,192.168.1.115,10.0.0.73,Open,
76,Distributed Denial of Service (DDoS),2022-12-05,WebServer,Network,Critical,104.27.138.153,10.0.0.74,Resolved,
77,Ransomware,2022-12-10,,,High,185.174.171.4,10.0.0.75,In Progress,
78,SQL Injection,2022-12-15,WebApplication,Code Injection,Critical,192.0.2.55,10.0.0.76,Resolved,34
79,Phishing,2022-12-18,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.77,Resolved,6
80,Malware,2022-12-22,CorporateServer,Email,High,192.168.1.116,10.0.0.78,Open,23
81,Distributed Denial of Service (DDoS),2022-12-25,WebServer,Network,Critical,104.27.138.153,10.0.0.79,Resolved,84
82,Ransomware,2022-12-28,DatabaseServer,,High,185.174.171.4,10.0.0.80,Open,54
83,SQL Injection,2023-01-02,WebApplication,Code Injection,Critical,,10.0.0.81,Resolved,93
84,Phishing,2023-01-05,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,,Resolved,39
85,Malware,2023-01-10,CorporateServer,Email,High,192.168.1.117,10.0.0.83,Open,456
86,Distributed Denial of Service (DDoS),2023-01-15,WebServer,Network,Critical,104.27.138.153,10.0.0.84,In Progress,532
87,,2023-01-18,,Malicious Link,,185.174.171.4,10.0.0.85,Resolved,62
88,SQL Injection,2023-01-22,WebApplication,Code Injection,Critical,192.0.2.55,,Open,47
89,Phishing,2023-01-25,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.87,Resolved,32
90,Malware,2023-01-28,CorporateServer,Email,High,192.168.1.118,10.0.0.88,Resolved,54
91,Distributed Denial of Service (DDoS),2023-02-02,WebServer,Network,Critical,104.27.138.153,10.0.0.89,Open,42
92,Ransomware,,,Malicious Link,High,185.174.171.4,10.0.0.90,Resolved,
93,SQL Injection,2023-02-10,WebApplication,,Critical,192.0.2.55,10.0.0.91,Resolved,244
94,Phishing,2023-02-15,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.92,Open,
95,Malware,2023-02-18,CorporateServer,Email,High,192.168.1.119,10.0.0.93,Resolved,44
96,Distributed Denial of Service (DDoS),2023-02-22,WebServer,Network,Critical,104.27.138.153,10.0.0.94,Resolved,723
97,Ransomware,2023-02-25,DatabaseServer,Malicious Link,,,10.0.0.95,Open,94
98,SQL Injection,2023-02-28,,Code Injection,Critical,192.0.2.55,10.0.0.96,Resolved,44
99,,2023-03-02,EmployeeWorkstation,Social Engineering,Medium,203.0.113.42,10.0.0.97,Resolved,323
100,Malware,2023-03-05,CorporateServer,Email,,192.168.1.120,10.0.0.98,Open,22
